0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/img/gallerie_valeurs/qualite.png HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/img/LogoTransparent.png HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/img/page-bg-1.jpg HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/img/back-top-btn.png HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:25 +0200] "GET /cadre/img/favicon.png.ico HTTP/1.1" 200 99678
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:34 +0200] "GET /cadre/contact HTTP/1.1" 200 8243
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:34 +0200] "GET /cadre/css/jquery.lightbox-0.5.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:34 +0200] "GET /cadre/img/map.JPG HTTP/1.1" 200 70546
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:34 +0200] "GET /cadre/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:35 +0200] "GET /cadre/entreprise HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:38 +0200] "GET /cadre/metiers HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:38 +0200] "GET /cadre/css/prettyPhoto.css HTTP/1.1" 200 10266
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:38 +0200] "GET /cadre/img/gallery/gallery-img-2-thumb.jpg HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:40 +0200] "GET /cadre/prestations HTTP/1.1" 200 16778
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:40 +0200] "GET /cadre/img/gallerie_prestations/roueP.png HTTP/1.1" 200 102912
